name,description,latitude,longitude,color
実家,"松島家が住んでいる実家！この家にはmother,sister,dogが住んでいる！My dog names are Karatto. マジ　プリティー！",35.80346378,139.9774461,red
最寄り駅,ここは自宅から一番近い五香駅！出かけるときはいつもお世話になっている。しかし駅員の態度があまりよろしくないところが難点。,35.79738499,139.9657895,green
兎に角,ここは食べた中で一番おいしいと感じた油そばの店！油そばの中では一番美味しかった！しかもレモンサワー飲めるから最高なトリップを行える！,35.78605794,139.9017693,pink
誉,ここは食べた中で一番美味しかった背油系ラーメンの店！いう事ないくらいおいしい！最高にハイってやつ！誉といえばghost of tsushimaで出てきた境井家を思い出す。,35.86053156,139.9687967,pink
神道家,ここは食べた中で一番美味しかった家系ラーメンの店！この店はすするTVというラーメン系Youtuberが紹介してた店！いったけどガチでうまし,35.92435781,139.8946452,pink
